locus_tag	ftype	length_bp	gene	EC_number	COG	product
BBPJPPNJ_01322	CDS	879				hypothetical protein
BBPJPPNJ_01323	CDS	588				hypothetical protein
BBPJPPNJ_01324	CDS	711				hypothetical protein
BBPJPPNJ_01325	CDS	4806				hypothetical protein
BBPJPPNJ_01326	CDS	2883	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
BBPJPPNJ_01327	CDS	330				hypothetical protein
BBPJPPNJ_01328	CDS	228				hypothetical protein
BBPJPPNJ_01329	CDS	348				hypothetical protein
BBPJPPNJ_01330	CDS	213				hypothetical protein
BBPJPPNJ_01331	CDS	297				hypothetical protein
BBPJPPNJ_01332	CDS	381				hypothetical protein
BBPJPPNJ_01333	CDS	459				hypothetical protein
BBPJPPNJ_01334	CDS	1890	rep_3	3.6.4.12		ATP-dependent DNA helicase Rep
BBPJPPNJ_01335	CDS	1281				hypothetical protein
BBPJPPNJ_01336	CDS	627				hypothetical protein
BBPJPPNJ_01337	CDS	924				hypothetical protein
BBPJPPNJ_01338	CDS	1248				hypothetical protein
BBPJPPNJ_01339	CDS	489				hypothetical protein
BBPJPPNJ_01340	CDS	396				hypothetical protein
BBPJPPNJ_01341	CDS	1842				hypothetical protein
BBPJPPNJ_01342	CDS	756				hypothetical protein
BBPJPPNJ_01343	CDS	1161				ISH3 family transposase ISMbu7
BBPJPPNJ_01344	CDS	717				hypothetical protein
BBPJPPNJ_01345	CDS	792				hypothetical protein
BBPJPPNJ_01346	CDS	279				hypothetical protein
BBPJPPNJ_01347	CDS	615	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
BBPJPPNJ_01348	CDS	567				hypothetical protein
BBPJPPNJ_01349	CDS	441				hypothetical protein
BBPJPPNJ_01350	CDS	252				hypothetical protein
BBPJPPNJ_01351	CDS	363				hypothetical protein
BBPJPPNJ_01352	CDS	774				hypothetical protein
BBPJPPNJ_01353	CDS	189				hypothetical protein
BBPJPPNJ_01354	CDS	1446				hypothetical protein
BBPJPPNJ_01355	CDS	669				hypothetical protein
BBPJPPNJ_01356	CDS	168				hypothetical protein
BBPJPPNJ_01357	CDS	345				hypothetical protein
BBPJPPNJ_01358	CDS	1446	ftsH_5	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
BBPJPPNJ_01359	CDS	1641				hypothetical protein
BBPJPPNJ_01360	CDS	231				hypothetical protein
BBPJPPNJ_01361	CDS	1812				hypothetical protein
BBPJPPNJ_01362	CDS	780				hypothetical protein
BBPJPPNJ_01363	CDS	1461				hypothetical protein
BBPJPPNJ_01364	CDS	537				hypothetical protein
BBPJPPNJ_01365	CDS	2730				hypothetical protein
BBPJPPNJ_01366	CDS	966				hypothetical protein
BBPJPPNJ_01367	CDS	1065				hypothetical protein
BBPJPPNJ_01368	CDS	885				hypothetical protein
BBPJPPNJ_01369	CDS	2832				hypothetical protein
BBPJPPNJ_01370	CDS	222				hypothetical protein
BBPJPPNJ_01371	CDS	429				hypothetical protein
BBPJPPNJ_01372	CDS	558				hypothetical protein
BBPJPPNJ_01373	CDS	2490				hypothetical protein
BBPJPPNJ_01374	CDS	993	noc_1			Nucleoid occlusion protein
BBPJPPNJ_01375	CDS	786	soj_1	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
BBPJPPNJ_01376	CDS	366				hypothetical protein
BBPJPPNJ_01377	CDS	204				hypothetical protein
BBPJPPNJ_01378	CDS	153				hypothetical protein
BBPJPPNJ_01379	CDS	804	pacS_1	7.2.2.8		putative copper-transporting ATPase PacS
BBPJPPNJ_01380	CDS	450				hypothetical protein
BBPJPPNJ_01381	CDS	1734	cotA_1		COG2132	Spore coat protein A
BBPJPPNJ_01382	CDS	510	isiB_1			Flavodoxin
BBPJPPNJ_01383	CDS	195				hypothetical protein
BBPJPPNJ_01384	CDS	744				hypothetical protein
BBPJPPNJ_01385	CDS	267	yhjQ_1		COG1145	putative cysteine-rich protein YhjQ
BBPJPPNJ_01386	CDS	171				hypothetical protein
BBPJPPNJ_01387	CDS	264				hypothetical protein
BBPJPPNJ_01388	CDS	432				hypothetical protein
BBPJPPNJ_01389	CDS	1029			COG1073	putative protein
BBPJPPNJ_01390	CDS	357	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
BBPJPPNJ_01391	CDS	150				hypothetical protein
BBPJPPNJ_01392	CDS	2529	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
BBPJPPNJ_01393	CDS	720				Ycf53-like protein
BBPJPPNJ_01394	CDS	1317				hypothetical protein
BBPJPPNJ_01395	CDS	255				hypothetical protein
BBPJPPNJ_01396	CDS	423				hypothetical protein
BBPJPPNJ_01397	CDS	549				hypothetical protein
BBPJPPNJ_01398	CDS	2928	polA	2.7.7.7	COG0258	DNA polymerase I
BBPJPPNJ_01399	CDS	1146	yciC_3		COG0523	Putative metal chaperone YciC
BBPJPPNJ_01400	CDS	1485	cysS	6.1.1.16		Cysteine--tRNA ligase
BBPJPPNJ_01401	CDS	2925	gcvP	1.4.4.2		Glycine dehydrogenase (decarboxylating)
BBPJPPNJ_01402	CDS	390	gcvH			Glycine cleavage system H protein
BBPJPPNJ_01403	CDS	1620				hypothetical protein
BBPJPPNJ_01404	CDS	1761	ycf3_7			Photosystem I assembly protein Ycf3
BBPJPPNJ_01405	CDS	2346	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
BBPJPPNJ_01406	CDS	651				hypothetical protein
BBPJPPNJ_01407	CDS	225				hypothetical protein
BBPJPPNJ_01408	CDS	300				hypothetical protein
BBPJPPNJ_01409	CDS	1746	sir_3	1.8.7.1		Sulfite reductase [ferredoxin]
BBPJPPNJ_01410	CDS	195				hypothetical protein
BBPJPPNJ_01411	CDS	852	acuC			Acetoin utilization protein AcuC
BBPJPPNJ_01412	CDS	168				hypothetical protein
BBPJPPNJ_01413	CDS	1233				ISAs1 family transposase ISCysp6
BBPJPPNJ_01414	CDS	498				hypothetical protein
BBPJPPNJ_01415	CDS	2016				hypothetical protein
BBPJPPNJ_01416	CDS	807				hypothetical protein
BBPJPPNJ_01417	CDS	1689				hypothetical protein
BBPJPPNJ_01418	CDS	1452	ftsH_6	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
BBPJPPNJ_01419	CDS	648				hypothetical protein
BBPJPPNJ_01420	CDS	891				hypothetical protein
BBPJPPNJ_01421	CDS	600				hypothetical protein
BBPJPPNJ_01422	CDS	126				hypothetical protein
BBPJPPNJ_01423	CDS	390				hypothetical protein
BBPJPPNJ_01424	CDS	537				hypothetical protein
BBPJPPNJ_01425	CDS	348				hypothetical protein
BBPJPPNJ_01426	CDS	282				hypothetical protein
BBPJPPNJ_01427	CDS	264				hypothetical protein
BBPJPPNJ_01428	CDS	549				hypothetical protein
BBPJPPNJ_01429	CDS	810	dpnM	2.1.1.72		Modification methylase DpnIIA
BBPJPPNJ_01430	CDS	444				hypothetical protein
BBPJPPNJ_01431	CDS	717				hypothetical protein
BBPJPPNJ_01432	CDS	606				hypothetical protein
BBPJPPNJ_01433	CDS	1497	radA	3.6.4.-	COG1066	DNA repair protein RadA
BBPJPPNJ_01434	CDS	729	walR_1		COG0745	Transcriptional regulatory protein WalR
BBPJPPNJ_01435	CDS	681				hypothetical protein
BBPJPPNJ_01436	CDS	486				hypothetical protein
BBPJPPNJ_01437	CDS	1221				hypothetical protein
BBPJPPNJ_01438	CDS	618				hypothetical protein
BBPJPPNJ_01439	CDS	204	apcC			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core
BBPJPPNJ_01440	CDS	486	apcB			Allophycocyanin beta chain
BBPJPPNJ_01441	CDS	486	apcA_1			Allophycocyanin alpha chain
BBPJPPNJ_01442	CDS	915	phzF	5.3.3.17		Trans-2,3-dihydro-3-hydroxyanthranilate isomerase
BBPJPPNJ_01443	CDS	1887	ftsH2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH 2
BBPJPPNJ_01444	CDS	519				hypothetical protein
BBPJPPNJ_01445	CDS	537				hypothetical protein
BBPJPPNJ_01446	CDS	732	pcyA_1	1.3.7.5		Phycocyanobilin:ferredoxin oxidoreductase
BBPJPPNJ_01447	CDS	915				hypothetical protein
BBPJPPNJ_01448	CDS	561	cpoB_4			Cell division coordinator CpoB
BBPJPPNJ_01449	CDS	201				hypothetical protein
BBPJPPNJ_01450	CDS	189				hypothetical protein
BBPJPPNJ_01451	CDS	1617	rsr			60 kDa SS-A/Ro ribonucleoprotein 
BBPJPPNJ_01452	CDS	1653				hypothetical protein
BBPJPPNJ_01453	tRNA	77				tRNA-Asp(gtc)
BBPJPPNJ_01454	tRNA	78				tRNA-Asp(gtc)
BBPJPPNJ_01455	CDS	621				hypothetical protein
BBPJPPNJ_01456	CDS	237				hypothetical protein
BBPJPPNJ_01457	CDS	582	yceD		COG2310	General stress protein 16U
BBPJPPNJ_01458	CDS	609	yceC		COG2310	Stress response protein SCP2
BBPJPPNJ_01459	CDS	732				hypothetical protein
BBPJPPNJ_01460	CDS	705				hypothetical protein
BBPJPPNJ_01461	CDS	141				hypothetical protein
BBPJPPNJ_01462	CDS	789	phnE		COG3639	Phosphate-import permease protein PhnE
BBPJPPNJ_01463	CDS	795	glnQ_2		COG1126	Glutamine transport ATP-binding protein GlnQ
BBPJPPNJ_01464	CDS	951				hypothetical protein
BBPJPPNJ_01465	CDS	228				hypothetical protein
BBPJPPNJ_01466	CDS	1221				hypothetical protein
BBPJPPNJ_01467	CDS	2859				hypothetical protein
BBPJPPNJ_01468	CDS	999	yjiA_1	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
BBPJPPNJ_01469	CDS	1020				hypothetical protein
BBPJPPNJ_01470	CDS	2853	uvrA			UvrABC system protein A
BBPJPPNJ_01471	CDS	180				hypothetical protein
BBPJPPNJ_01472	CDS	1008				hypothetical protein
BBPJPPNJ_01473	CDS	855		2.1.1.295		2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
BBPJPPNJ_01474	CDS	1053	lly	1.13.11.27	COG3185	4-hydroxyphenylpyruvate dioxygenase
BBPJPPNJ_01475	CDS	1242				hypothetical protein
BBPJPPNJ_01476	CDS	900		2.5.1.115		Homogentisate phytyltransferase
BBPJPPNJ_01477	CDS	1023	splG	4.1.99.14		Spore photoproduct lyase
BBPJPPNJ_01478	CDS	831				hypothetical protein
BBPJPPNJ_01479	CDS	1038			COG5592	DNA nickase
BBPJPPNJ_01480	CDS	849				hypothetical protein
BBPJPPNJ_01481	CDS	378				hypothetical protein
BBPJPPNJ_01482	CDS	483	petD_1			Cytochrome b6-f complex subunit 4
BBPJPPNJ_01483	CDS	669	petB_1		COG1290	Cytochrome b6
BBPJPPNJ_01484	CDS	219				hypothetical protein
BBPJPPNJ_01485	CDS	1212		3.4.21.-		putative CtpA-like serine protease
BBPJPPNJ_01486	CDS	207				hypothetical protein
BBPJPPNJ_01487	CDS	912				hypothetical protein
BBPJPPNJ_01488	CDS	144				hypothetical protein
BBPJPPNJ_01489	CDS	2766		2.7.7.-		A-adding tRNA nucleotidyltransferase
BBPJPPNJ_01490	CDS	1764				hypothetical protein
BBPJPPNJ_01491	CDS	1131				hypothetical protein
BBPJPPNJ_01492	CDS	1098				hypothetical protein
BBPJPPNJ_01493	CDS	195				hypothetical protein
BBPJPPNJ_01494	CDS	729	sodA2	1.15.1.1		Superoxide dismutase [Mn] 2
BBPJPPNJ_01495	CDS	207				hypothetical protein
BBPJPPNJ_01496	CDS	1446	tagU	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
BBPJPPNJ_01497	CDS	423				hypothetical protein
BBPJPPNJ_01498	CDS	1608				hypothetical protein
BBPJPPNJ_01499	CDS	90	psaM			Photosystem I reaction center subunit XII
BBPJPPNJ_01500	CDS	525				hypothetical protein
BBPJPPNJ_01501	CDS	606				hypothetical protein
BBPJPPNJ_01502	CDS	873				hypothetical protein
BBPJPPNJ_01503	CDS	1623				hypothetical protein
BBPJPPNJ_01504	CDS	255	ctpF_1	3.6.3.-	COG0474	putative cation-transporting ATPase F
BBPJPPNJ_01505	CDS	363				hypothetical protein
BBPJPPNJ_01506	CDS	2979				hypothetical protein
BBPJPPNJ_01507	CDS	2028	ligA	6.5.1.2		DNA ligase
BBPJPPNJ_01508	CDS	414	teaD		COG0589	TRAP-T-associated universal stress protein TeaD
BBPJPPNJ_01509	CDS	1203	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
BBPJPPNJ_01510	CDS	1260	metK	2.5.1.6		S-adenosylmethionine synthase
BBPJPPNJ_01511	CDS	726	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
BBPJPPNJ_01512	CDS	330				Ycf54-like protein
BBPJPPNJ_01513	CDS	1659	gsiA_1	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
BBPJPPNJ_01514	CDS	540				hypothetical protein
BBPJPPNJ_01515	CDS	396				hypothetical protein
BBPJPPNJ_01516	CDS	714				hypothetical protein
BBPJPPNJ_01517	CDS	1176				hypothetical protein
BBPJPPNJ_01518	CDS	450				hypothetical protein
BBPJPPNJ_01519	CDS	435				hypothetical protein
BBPJPPNJ_01520	CDS	249				hypothetical protein
BBPJPPNJ_01521	CDS	702				hypothetical protein
BBPJPPNJ_01522	CDS	2910				hypothetical protein
BBPJPPNJ_01523	CDS	351				hypothetical protein
BBPJPPNJ_01524	CDS	228				hypothetical protein
BBPJPPNJ_01525	CDS	141				hypothetical protein
BBPJPPNJ_01526	CDS	342				hypothetical protein
BBPJPPNJ_01527	CDS	864				hypothetical protein
BBPJPPNJ_01528	CDS	2016	speA_2	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
BBPJPPNJ_01529	CDS	2235				hypothetical protein
BBPJPPNJ_01530	CDS	438				hypothetical protein
BBPJPPNJ_01531	CDS	327				hypothetical protein
BBPJPPNJ_01532	CDS	240				hypothetical protein
BBPJPPNJ_01533	CDS	1224				hypothetical protein
BBPJPPNJ_01534	CDS	750				hypothetical protein
BBPJPPNJ_01535	CDS	660				hypothetical protein
BBPJPPNJ_01536	CDS	960	xerC_2		COG4973	Tyrosine recombinase XerC
BBPJPPNJ_01537	CDS	531				hypothetical protein
BBPJPPNJ_01538	CDS	384				hypothetical protein
BBPJPPNJ_01539	CDS	1146				hypothetical protein
BBPJPPNJ_01540	CDS	3579				hypothetical protein
BBPJPPNJ_01541	CDS	2934				hypothetical protein
BBPJPPNJ_01542	CDS	567				IS630 family transposase ISMae27
BBPJPPNJ_01543	CDS	495				IS630 family transposase ISAcma28
BBPJPPNJ_01544	CDS	408				hypothetical protein
BBPJPPNJ_01545	CDS	588				hypothetical protein
BBPJPPNJ_01546	CDS	516				hypothetical protein
BBPJPPNJ_01547	CDS	162				hypothetical protein
BBPJPPNJ_01548	CDS	510				hypothetical protein
BBPJPPNJ_01549	CDS	858	recF_2			DNA replication and repair protein RecF
BBPJPPNJ_01550	CDS	1554				hypothetical protein
BBPJPPNJ_01551	CDS	879				hypothetical protein
BBPJPPNJ_01552	CDS	672	COQ5_4	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BBPJPPNJ_01553	CDS	1242				hypothetical protein
BBPJPPNJ_01554	CDS	255				hypothetical protein
BBPJPPNJ_01555	CDS	954	queG_1	1.17.99.6	COG1600	Epoxyqueuosine reductase
BBPJPPNJ_01556	CDS	672			COG0546	putative protein
BBPJPPNJ_01557	CDS	2085				hypothetical protein
BBPJPPNJ_01558	CDS	1119	ndhA	7.1.1.-	COG1005	NAD(P)H-quinone oxidoreductase subunit 1
BBPJPPNJ_01559	CDS	360				hypothetical protein
BBPJPPNJ_01560	CDS	2130	bamA_1			Outer membrane protein assembly factor BamA
BBPJPPNJ_01561	CDS	729	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
BBPJPPNJ_01562	CDS	273				hypothetical protein
BBPJPPNJ_01563	CDS	1131	mgtA_1	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
BBPJPPNJ_01564	CDS	123				hypothetical protein
BBPJPPNJ_01565	tRNA	73				tRNA-Val(tac)
BBPJPPNJ_01566	CDS	330	ytcD		COG1733	putative HTH-type transcriptional regulator YtcD
BBPJPPNJ_01567	CDS	735	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
BBPJPPNJ_01568	CDS	1284	mdtG_1			Multidrug resistance protein MdtG
BBPJPPNJ_01569	CDS	792	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
BBPJPPNJ_01570	CDS	357	rplT			50S ribosomal protein L20
BBPJPPNJ_01571	CDS	198	rpmI		COG0291	50S ribosomal protein L35
BBPJPPNJ_01572	CDS	747	rnc	3.1.26.3		Ribonuclease 3
BBPJPPNJ_01573	CDS	423	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
BBPJPPNJ_01574	CDS	333				hypothetical protein
BBPJPPNJ_01575	CDS	531	def_2	3.5.1.88	COG0242	Peptide deformylase
BBPJPPNJ_01576	CDS	315				hypothetical protein
BBPJPPNJ_01577	CDS	576				hypothetical protein
BBPJPPNJ_01578	CDS	903				hypothetical protein
BBPJPPNJ_01579	CDS	1530	comM		COG0606	Competence protein ComM
BBPJPPNJ_01580	CDS	1251	gltP_1		COG1301	Proton/glutamate-aspartate symporter
BBPJPPNJ_01581	CDS	321				hypothetical protein
BBPJPPNJ_01582	CDS	666	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
BBPJPPNJ_01583	CDS	1017	moaA_1			GTP 3',8-cyclase
BBPJPPNJ_01584	CDS	150				hypothetical protein
BBPJPPNJ_01585	CDS	444	rcp1_5			Response regulator rcp1
BBPJPPNJ_01586	CDS	147				hypothetical protein
BBPJPPNJ_01587	CDS	1443	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
BBPJPPNJ_01588	CDS	2838	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
BBPJPPNJ_01589	CDS	204				hypothetical protein
BBPJPPNJ_01590	CDS	1188				hypothetical protein
BBPJPPNJ_01591	CDS	1113			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
BBPJPPNJ_01592	CDS	594				hypothetical protein
BBPJPPNJ_01593	CDS	330				hypothetical protein
BBPJPPNJ_01594	CDS	1137	desV_2	2.6.1.106		dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
BBPJPPNJ_01595	CDS	1104				hypothetical protein
BBPJPPNJ_01596	CDS	2637	apxIB		COG2274	Toxin RTX-I translocation ATP-binding protein
BBPJPPNJ_01597	CDS	2187	cheB_2	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
BBPJPPNJ_01598	CDS	744	surA_1	5.2.1.8		Chaperone SurA
BBPJPPNJ_01599	CDS	609				hypothetical protein
BBPJPPNJ_01600	CDS	543	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
BBPJPPNJ_01601	CDS	1224			COG2081	putative protein
BBPJPPNJ_01602	CDS	219				hypothetical protein
BBPJPPNJ_01603	CDS	1062	manC1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
BBPJPPNJ_01604	CDS	189				hypothetical protein
BBPJPPNJ_01605	CDS	300				hypothetical protein
BBPJPPNJ_01606	CDS	312				hypothetical protein
BBPJPPNJ_01607	CDS	1818		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
BBPJPPNJ_01608	CDS	1536	phr	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
BBPJPPNJ_01609	CDS	2031				hypothetical protein
BBPJPPNJ_01610	CDS	1332				hypothetical protein
BBPJPPNJ_01611	CDS	963	ruvB_2	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
BBPJPPNJ_01612	CDS	627				hypothetical protein
BBPJPPNJ_01613	CDS	492				hypothetical protein
BBPJPPNJ_01614	CDS	771	dnaJ_4			Chaperone protein DnaJ
BBPJPPNJ_01615	CDS	675	bepA_3	3.4.-.-		Beta-barrel assembly-enhancing protease
BBPJPPNJ_01616	CDS	1407	pds_2	1.3.5.5	COG3349	15-cis-phytoene desaturase
BBPJPPNJ_01617	CDS	1059	crtB	2.5.1.32		15-cis-phytoene synthase
BBPJPPNJ_01618	CDS	1143	des	1.14.19.-	COG3239	Fatty acid desaturase
BBPJPPNJ_01619	CDS	1023		2.1.1.295		2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
BBPJPPNJ_01620	CDS	153				hypothetical protein
BBPJPPNJ_01621	CDS	945	fcl	1.1.1.271	COG0451	GDP-L-fucose synthase
BBPJPPNJ_01622	CDS	1080	gmd_1	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
BBPJPPNJ_01623	CDS	690	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
BBPJPPNJ_01624	CDS	432	mshA_5	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
BBPJPPNJ_01625	CDS	1137				ISAs1 family transposase ISAsp2
BBPJPPNJ_01626	CDS	696				hypothetical protein
BBPJPPNJ_01627	CDS	291				hypothetical protein
BBPJPPNJ_01628	CDS	639				hypothetical protein
BBPJPPNJ_01629	CDS	462				hypothetical protein
BBPJPPNJ_01630	CDS	141				hypothetical protein
BBPJPPNJ_01631	CDS	363	mazF9	3.1.-.-	COG2337	Endoribonuclease MazF9
BBPJPPNJ_01632	CDS	276				hypothetical protein
BBPJPPNJ_01633	CDS	426				hypothetical protein
BBPJPPNJ_01634	CDS	135				hypothetical protein
BBPJPPNJ_01635	CDS	1806				hypothetical protein
BBPJPPNJ_01636	CDS	762				hypothetical protein
BBPJPPNJ_01637	CDS	474				hypothetical protein
BBPJPPNJ_01638	CDS	642				hypothetical protein
BBPJPPNJ_01639	CDS	249				hypothetical protein
BBPJPPNJ_01640	CDS	375				hypothetical protein
BBPJPPNJ_01641	CDS	711				hypothetical protein
BBPJPPNJ_01642	CDS	225				hypothetical protein
BBPJPPNJ_01643	CDS	1053	xerC_3			Tyrosine recombinase XerC
BBPJPPNJ_01644	CDS	147				hypothetical protein
BBPJPPNJ_01645	CDS	567				hypothetical protein
BBPJPPNJ_01646	CDS	168				hypothetical protein
BBPJPPNJ_01647	CDS	957				hypothetical protein
BBPJPPNJ_01648	CDS	525				hypothetical protein
BBPJPPNJ_01649	CDS	507				hypothetical protein
BBPJPPNJ_01650	CDS	213				hypothetical protein
BBPJPPNJ_01651	CDS	1356	steT_2		COG0531	Serine/threonine exchanger SteT
BBPJPPNJ_01652	CDS	576				hypothetical protein
BBPJPPNJ_01653	CDS	714	prmC_2	2.1.1.297		Release factor glutamine methyltransferase
BBPJPPNJ_01654	CDS	1311		1.6.99.-	COG1252	NADH dehydrogenase-like protein
BBPJPPNJ_01655	CDS	477				hypothetical protein
BBPJPPNJ_01656	CDS	651	paoA	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
BBPJPPNJ_01657	CDS	987	paoB	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
BBPJPPNJ_01658	CDS	2313	paoC	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
BBPJPPNJ_01659	CDS	879				hypothetical protein
BBPJPPNJ_01660	CDS	1194	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
BBPJPPNJ_01661	CDS	585	glmU_1	2.7.7.23		Bifunctional protein GlmU
BBPJPPNJ_01662	CDS	183				hypothetical protein
BBPJPPNJ_01663	CDS	2256	katG	1.11.1.21	COG0376	Catalase-peroxidase
BBPJPPNJ_01664	CDS	639				hypothetical protein
BBPJPPNJ_01665	CDS	222				hypothetical protein
BBPJPPNJ_01666	CDS	498				hypothetical protein
BBPJPPNJ_01667	CDS	486				hypothetical protein
BBPJPPNJ_01668	CDS	189				hypothetical protein
BBPJPPNJ_01669	CDS	1020			COG3385	IS4 family transposase IS4Sa
BBPJPPNJ_01670	CDS	156				hypothetical protein
BBPJPPNJ_01671	CDS	168				hypothetical protein
BBPJPPNJ_01672	CDS	465				hypothetical protein
BBPJPPNJ_01673	CDS	369				hypothetical protein
BBPJPPNJ_01674	CDS	444		2.3.1.82		Aminoglycoside N(6')-acetyltransferase type 1
BBPJPPNJ_01675	CDS	486				hypothetical protein
BBPJPPNJ_01676	CDS	915	rhaR_2			HTH-type transcriptional activator RhaR
BBPJPPNJ_01677	CDS	429				hypothetical protein
BBPJPPNJ_01678	CDS	339				hypothetical protein
BBPJPPNJ_01679	CDS	144				hypothetical protein
BBPJPPNJ_01680	CDS	408				hypothetical protein
BBPJPPNJ_01681	CDS	750		1.1.1.119	COG1028	Glucose 1-dehydrogenase
BBPJPPNJ_01682	CDS	930				hypothetical protein
BBPJPPNJ_01683	CDS	471	aacC1_2	2.3.1.60		Gentamicin 3-N-acetyltransferase
BBPJPPNJ_01684	CDS	456				hypothetical protein
BBPJPPNJ_01685	CDS	162				hypothetical protein
BBPJPPNJ_01686	CDS	555		2.3.1.-	COG1670	Acetyltransferase
BBPJPPNJ_01687	CDS	192				hypothetical protein
BBPJPPNJ_01688	CDS	246				hypothetical protein
BBPJPPNJ_01689	CDS	189				hypothetical protein
BBPJPPNJ_01690	CDS	324				hypothetical protein
BBPJPPNJ_01691	CDS	1110				hypothetical protein
BBPJPPNJ_01692	CDS	822	benM			HTH-type transcriptional regulator BenM
BBPJPPNJ_01693	CDS	1662				ISL3 family transposase ISAcma23
BBPJPPNJ_01694	CDS	228				hypothetical protein
BBPJPPNJ_01695	CDS	372				hypothetical protein
BBPJPPNJ_01696	CDS	501				hypothetical protein
BBPJPPNJ_01697	CDS	1851	topA_2	5.6.2.1	COG0550	DNA topoisomerase 1
BBPJPPNJ_01698	CDS	1125	rip3		COG0517	Putative zinc metalloprotease Rip3
BBPJPPNJ_01699	CDS	822	inlA_2		COG4886	Internalin A
BBPJPPNJ_01700	CDS	435				hypothetical protein
BBPJPPNJ_01701	CDS	963	xerC_4		COG4973	Tyrosine recombinase XerC
BBPJPPNJ_01702	CDS	1323	mntH_3			Divalent metal cation transporter MntH
BBPJPPNJ_01703	CDS	567	COQ5_5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BBPJPPNJ_01704	CDS	441				hypothetical protein
BBPJPPNJ_01705	CDS	402	ziaR_1			Transcriptional repressor SmtB 
BBPJPPNJ_01706	CDS	2196	ziaA_1	7.2.2.12		Zinc-transporting ATPase
BBPJPPNJ_01707	CDS	612	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
BBPJPPNJ_01708	CDS	882	sigJ			ECF RNA polymerase sigma factor SigJ
BBPJPPNJ_01709	CDS	624	azoR1_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
BBPJPPNJ_01710	CDS	465				hypothetical protein
BBPJPPNJ_01711	CDS	627				hypothetical protein
BBPJPPNJ_01712	CDS	444				hypothetical protein
BBPJPPNJ_01713	CDS	1317				hypothetical protein
BBPJPPNJ_01714	CDS	1341				hypothetical protein
BBPJPPNJ_01715	CDS	696	yhbO	3.1.2.-	COG0693	Protein/nucleic acid deglycase 2
BBPJPPNJ_01716	CDS	210				hypothetical protein
BBPJPPNJ_01717	CDS	102				hypothetical protein
BBPJPPNJ_01718	CDS	1341	garB_1	1.8.1.16		Glutathione amide reductase
BBPJPPNJ_01719	CDS	771				hypothetical protein
BBPJPPNJ_01720	CDS	1254				hypothetical protein
BBPJPPNJ_01721	CDS	915	czcD_2		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
BBPJPPNJ_01722	CDS	546				hypothetical protein
